Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"ACTPOL-308,309,310,316 and 344",Chrome 76.0.3809.100,Version Release 6.6\r\n\r\nEnhancements Vreemdelingen Module,,2019-08-21 19:07:03,2019-08-21 19:21:53,14m - 50.170s,INCOMPLETE
,,,,,,,
Test Cases/JIRA Tasks/Release 6.6/ACTPOL-308,Chrome 76.0.3809.100,"Description
To be able to create documents with more information, new fields should be added to the Vreemdeling proces.

Solution
In process Vreemdeling below field Land, 
add field 'CRV nummer' and ‘IND BES nummer’. 
These new fields should not be mandatory, if a person has a CRV or IND BES number in ACTFMS this can be automatically included. (KPNAPF09G.BVDRCRVN)
Also add the fieldsLuchtvaart maatschappij/ rederij, naam vliegtuig/boot, telefoon nummer Boot/ vliegtuig, Agentschap, Geboorte plaats, telefoon nummer (Thuis, Mobiel en Werk), ticketnummer, PNR nummer, Meereizende minderjarige kinderen. As shown in the screenshot. 
This field should be saved in the same table as now Vreemdeling is saved.

See detailed description and screenshot in attachment.

Testplan
Step 1: Go to Generiek - assistentie - rol/proces - Vreemdeling
Step 2: Add a new vVreemdeling and fill all fields.
Step 3: it should be possible to register CRV nummer, ticketnummer, PNR nummer etc.

Navigation
Generiek - assistentie - rol/proces - Vreemdeling",ACTPOL-308,2019-08-21 19:07:06,2019-08-21 19:09:57,2m - 51.231s,PASSED
"callTestCase(findTestCase(""main/Actpol_Login_testenv""), [:], STOP_ON_FAILURE)",Chrome 76.0.3809.100,,,2019-08-21 19:07:07,2019-08-21 19:08:23,1m - 16.358s,PASSED
"selectOptionByValue(findTestObject(""Actpol_Scripts/General Search/Algemene Zoekopdracht -test env/Assistentie""), ""assist"", false)",Chrome 76.0.3809.100,,,2019-08-21 19:08:23,2019-08-21 19:08:39,15.848s,PASSED
"setText(findTestObject(""Actpol_Scripts/General Search/Algemene Zoekopdracht -test env/Assistentie Set text""), Generiekassistenite_Module)",Chrome 76.0.3809.100,,,2019-08-21 19:08:39,2019-08-21 19:08:41,1.868s,PASSED
delay(2),Chrome 76.0.3809.100,,,2019-08-21 19:08:41,2019-08-21 19:08:43,2.076s,PASSED
"click(findTestObject(""Actpol_Scripts/General Search/Algemene Zoekopdracht -test env/Zoeken new""))",Chrome 76.0.3809.100,,,2019-08-21 19:08:43,2019-08-21 19:08:47,3.987s,PASSED
delay(2),Chrome 76.0.3809.100,,,2019-08-21 19:08:47,2019-08-21 19:08:49,2.014s,PASSED
AssistentiedynamicId = Generiekassistenite_Module,Chrome 76.0.3809.100,Remember first set default assistentieid after run the script,,2019-08-21 19:08:49,2019-08-21 19:08:49,0.003s,PASSED
