Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"ACTPOL-534,507,543 and 484",Chrome 76.0.3809.100,Enhancements Vreemdelingen Module(V 6.6),,2019-08-22 20:02:01,2019-08-22 20:09:49,7m - 47.502s,INCOMPLETE
,,,,,,,
Test Cases/JIRA Tasks/Release 6.6/ACTPOL-534,Chrome 76.0.3809.100,"Description:

 

After selecting the record in ""Opsporing "" and clicking on Verdachte. it's displayed all fields are invisible.

 

Solution:

Data should be displayed in proper format .

 

Test plan:

Step 1: Go to Opsporing: Case Screening Select existing user

Step 2: Go to Verdachte

Step 3: View on Verdachte it is displaying invisible fields.

 

Navigation:

Opsporing : Case Screening",ACTPOL-534,2019-08-22 20:02:03,2019-08-22 20:05:12,3m - 9.108s,PASSED
"callTestCase(findTestCase(""main/Actpol_Login_testenv""), [:], STOP_ON_FAILURE)",Chrome 76.0.3809.100,,,2019-08-22 20:02:04,2019-08-22 20:03:45,1m - 40.655s,PASSED
"mouseOver(findTestObject(""Actpol_Scripts/Menu navigation/Opsporing/Opsporing""))",Chrome 76.0.3809.100,,,2019-08-22 20:03:45,2019-08-22 20:04:08,23.282s,PASSED
delay(2),Chrome 76.0.3809.100,,,2019-08-22 20:04:08,2019-08-22 20:04:10,2.016s,PASSED
"click(findTestObject(""Actpol_Scripts/Menu navigation/Opsporing/Case Screening""))",Chrome 76.0.3809.100,,,2019-08-22 20:04:10,2019-08-22 20:04:17,6.844s,PASSED
"mouseOver(findTestObject(""Actpol_Scripts/Menu navigation/Generiek/Generiek""))",Chrome 76.0.3809.100,,,2019-08-22 20:04:17,2019-08-22 20:04:19,1.506s,PASSED
delay(1),Chrome 76.0.3809.100,,,2019-08-22 20:04:19,2019-08-22 20:04:20,1.006s,PASSED
"click(findTestObject(""JIRA/A Relese 6.6/ACTPOL-534/Period van""))",Chrome 76.0.3809.100,Click Calendar icon,,2019-08-22 20:04:20,2019-08-22 20:04:23,3.015s,PASSED
delay(1),Chrome 76.0.3809.100,,,2019-08-22 20:04:23,2019-08-22 20:04:24,1.006s,PASSED
"selectOptionByValue(findTestObject(""Actpol_Scripts/Monthyear/Leftmonth""), ""1"", false)",Chrome 76.0.3809.100,Select required month,,2019-08-22 20:04:24,2019-08-22 20:04:26,2.236s,PASSED
delay(1),Chrome 76.0.3809.100,,,2019-08-22 20:04:26,2019-08-22 20:04:27,1.005s,PASSED
