Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
ACTPOL-548 and 550,Chrome 76.0.3809.100,#Enhancements Vreemdelingen Module,,2019-08-23 20:29:40,2019-08-23 20:36:02,6m - 21.422s,INCOMPLETE
,,,,,,,
Test Cases/JIRA Tasks/Release 6.6/ACTPOL-548,Chrome 76.0.3809.100,"When registering an opvarende, if you don't specify 'yes' of 'no' at bemanninslid, the opvarende is saved, but it is NOT saved with the boat. 
Testing Steps:

Select an assistentie
select any rol/proces
Click on the Vaartuig accordeon
Click on new vaartuig
Register a Vaartuig
Go to accordeon Opvarende
Click on new opvarende
Remember: leave the field bemanningslid empty
Add a name, making sure NOT to select bemanningslid yes or no.
add more names if you want, still not touching field bemanningslid
Click save
Save the vaartuig and the rol process.
 

On the rol process screen you will see the names appear as opvarende, but if you open the rol/process and the vaartuig, the accordeon opvarende will be empty.

 

If you repeat the steps and you select Nee at bemanningslid, the opvarende will save correctly. Just as if you select Ja, it will also save correctly as bemanning. Issue arises when you don't select anything.",ACPOL-548,2019-08-23 20:29:41,2019-08-23 20:34:40,4m - 59.179s,PASSED
"callTestCase(findTestCase(""main/Actpol_Login_testenv""), [:], STOP_ON_FAILURE)",Chrome 76.0.3809.100,,,2019-08-23 20:29:44,2019-08-23 20:32:38,2m - 54.126s,PASSED
"selectOptionByValue(findTestObject(""Actpol_Scripts/General Search/Algemene Zoekopdracht -test env/Assistentie""), ""assist"", false)",Chrome 76.0.3809.100,,,2019-08-23 20:32:38,2019-08-23 20:33:00,21.678s,PASSED
"setText(findTestObject(""Actpol_Scripts/General Search/Algemene Zoekopdracht -test env/Assistentie Set text""), Generiekassistenite_Module)",Chrome 76.0.3809.100,,,2019-08-23 20:33:00,2019-08-23 20:33:01,1.321s,PASSED
delay(2),Chrome 76.0.3809.100,,,2019-08-23 20:33:01,2019-08-23 20:33:03,2.016s,PASSED
"click(findTestObject(""Actpol_Scripts/General Search/Algemene Zoekopdracht -test env/Zoeken new""))",Chrome 76.0.3809.100,,,2019-08-23 20:33:03,2019-08-23 20:33:10,6.661s,PASSED
delay(2),Chrome 76.0.3809.100,,,2019-08-23 20:33:10,2019-08-23 20:33:12,2.014s,PASSED
AssistentiedynamicId = Generiekassistenite_Module,Chrome 76.0.3809.100,Remember first set default assistentieid after run the script,,2019-08-23 20:33:12,2019-08-23 20:33:12,0.002s,PASSED
"Assistentiexpath = ""//*[text()="""" + AssistentiedynamicId + """"]/preceding-sibling::td/a[2]""",Chrome 76.0.3809.100,,,2019-08-23 20:33:12,2019-08-23 20:33:12,0.003s,PASSED
"to = findTestObject(""Actpol_Scripts/General Search/Algemene Zoekopdracht -test env/View Assistentie"")",Chrome 76.0.3809.100,,,2019-08-23 20:33:12,2019-08-23 20:33:13,0.556s,PASSED
"to.addProperty(""xpath"", EQUALS, Assistentiexpath)",Chrome 76.0.3809.100,,,2019-08-23 20:33:13,2019-08-23 20:33:13,0.032s,PASSED
delay(5),Chrome 76.0.3809.100,,,2019-08-23 20:33:13,2019-08-23 20:33:18,5.010s,PASSED
click(to),Chrome 76.0.3809.100,,,2019-08-23 20:33:18,2019-08-23 20:33:18,0.530s,PASSED
delay(2),Chrome 76.0.3809.100,,,2019-08-23 20:33:18,2019-08-23 20:33:20,2.008s,PASSED
"click(findTestObject(""Actpol_Scripts/General Search/Algemene Zoekopdracht -test env/Confirmeren""))",Chrome 76.0.3809.100,,,2019-08-23 20:33:20,2019-08-23 20:33:34,13.331s,PASSED
delay(5),Chrome 76.0.3809.100,,,2019-08-23 20:33:34,2019-08-23 20:33:39,5.009s,PASSED
"click(findTestObject(""Actpol_Scripts/Generiek/Assistentie/Click roll process""))",Chrome 76.0.3809.100,,,2019-08-23 20:33:39,2019-08-23 20:33:42,3.633s,PASSED
delay(2),Chrome 76.0.3809.100,,,2019-08-23 20:33:42,2019-08-23 20:33:44,2.004s,PASSED
"click(findTestObject(""Actpol_Scripts/Generiek/Assistentie/Click new process""))",Chrome 76.0.3809.100,,,2019-08-23 20:33:44,2019-08-23 20:33:45,1.041s,PASSED
delay(2),Chrome 76.0.3809.100,,,2019-08-23 20:33:45,2019-08-23 20:33:47,2.007s,PASSED
"comment(""Select process ""BETROKKEN VAARTUIG"""")",Chrome 76.0.3809.100,,,2019-08-23 20:33:47,2019-08-23 20:33:47,0.031s,PASSED
"selectOptionByLabel(findTestObject(""Actpol_Scripts/Generiek/Assistentie/Rol Proces Type""), ""BETROKKEN VAARTUIG"", false)",Chrome 76.0.3809.100,Select required dropdown,,2019-08-23 20:33:47,2019-08-23 20:33:50,3.031s,PASSED
delay(3),Chrome 76.0.3809.100,,,2019-08-23 20:33:50,2019-08-23 20:33:53,3.006s,PASSED
"click(findTestObject(""JIRA/A Relese 6.6/ACTPOL-548/Contacten""))",Chrome 76.0.3809.100,Click Contacten tab,,2019-08-23 20:33:53,2019-08-23 20:33:54,0.924s,PASSED
delay(1),Chrome 76.0.3809.100,,,2019-08-23 20:33:54,2019-08-23 20:33:55,1.005s,PASSED
