Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"ACTPOL-558,559 and 560",Chrome 76.0.3809.132,,,2019-09-04 18:29:39,2019-09-04 18:39:27,9m - 48.438s,INCOMPLETE
,,,,,,,
Test Cases/JIRA Tasks/Release 6.6/ACTPOL-558,Chrome 76.0.3809.132,"Description:
For the purpose of careful and efficient provision of information to all parties involved in the forced departure (expulsion) of a foreign national(Vreemdeling), the registration form, model MBES18, is required.

Solution:
Create a new module in Tab Opsporing called MBES18.
When opening this module a grid wil show as in Arrestanten, with the Options volgnummer, Datum incident, Bijzonderheden, Organisatie, Contact persoon, telefoon numer, Voornaam, Achternaam en Geboortedatum.

Testplan:
Step 1: Go to Opsporing and choose tab MBES18
Step 2: Grid as attachment should pop up
Step 3: Grid should contain columns mentioned.

Navigation:
Opsporing - MBES18",ACTPOL-558,2019-09-04 18:29:40,2019-09-04 18:33:33,3m - 53.584s,PASSED
"callTestCase(findTestCase(""main/Actpol_Login_testenv""), [:], STOP_ON_FAILURE)",Chrome 76.0.3809.132,Login to the application,,2019-09-04 18:29:42,2019-09-04 18:32:24,2m - 41.588s,PASSED
log = new com.kms.katalon.core.logging.KeywordLogger(),Chrome 76.0.3809.132,,,2019-09-04 18:32:24,2019-09-04 18:32:24,0.029s,PASSED
"mouseOver(findTestObject(""Actpol_Scripts/Menu navigation/Opsporing/Opsporing""))",Chrome 76.0.3809.132,Mouse over to opsporing,,2019-09-04 18:32:24,2019-09-04 18:32:51,27.020s,PASSED
"log.logInfo(""Successfully logged"")",Chrome 76.0.3809.132,,,2019-09-04 18:32:51,2019-09-04 18:32:51,0.009s,PASSED
delay(2),Chrome 76.0.3809.132,,,2019-09-04 18:32:51,2019-09-04 18:32:53,2.017s,PASSED
"click(findTestObject(""Actpol_Scripts/Opsporing/MBES18/MBES18 TAB""))",Chrome 76.0.3809.132,Click MBES tab,,2019-09-04 18:32:53,2019-09-04 18:32:58,5.228s,PASSED
"log.logInfo(""Clicking MBES18 tab "")",Chrome 76.0.3809.132,,,2019-09-04 18:32:58,2019-09-04 18:32:58,0.005s,PASSED
delay(1),Chrome 76.0.3809.132,,,2019-09-04 18:32:58,2019-09-04 18:32:59,1.047s,PASSED
"mouseOver(findTestObject(""Actpol_Scripts/Menu navigation/Generiek/Generiek""))",Chrome 76.0.3809.132,Mouse over to Generic tab,,2019-09-04 18:32:59,2019-09-04 18:33:00,0.770s,PASSED
delay(3),Chrome 76.0.3809.132,,,2019-09-04 18:33:00,2019-09-04 18:33:03,3.012s,PASSED
takeScreenshot(),Chrome 76.0.3809.132,,,2019-09-04 18:33:03,2019-09-04 18:33:06,3.304s,PASSED
"log.logInfo(""MBES18 module is displayed"")",Chrome 76.0.3809.132,,,2019-09-04 18:33:06,2019-09-04 18:33:06,0.003s,PASSED
delay(1),Chrome 76.0.3809.132,,,2019-09-04 18:33:06,2019-09-04 18:33:07,1.008s,PASSED
"optie = getText(findTestObject(""JIRA/A Relese 6.6/ACTPOL-558/optie""))",Chrome 76.0.3809.132,Get text from the feild,,2019-09-04 18:33:07,2019-09-04 18:33:10,2.996s,PASSED
"log.logInfo(""Grid is shown contains columns mentioned ::"" + optie)",Chrome 76.0.3809.132,,,2019-09-04 18:33:10,2019-09-04 18:33:10,0.007s,PASSED
delay(1),Chrome 76.0.3809.132,,,2019-09-04 18:33:10,2019-09-04 18:33:11,1.006s,PASSED
"vlg = getText(findTestObject(""JIRA/A Relese 6.6/ACTPOL-558/Vlg. Nummer""))",Chrome 76.0.3809.132,Get text from the feild,,2019-09-04 18:33:11,2019-09-04 18:33:12,0.804s,PASSED
"log.logInfo(""Grid is shown contains columns mentioned ::"" + vlg)",Chrome 76.0.3809.132,,,2019-09-04 18:33:12,2019-09-04 18:33:12,0.004s,PASSED
delay(1),Chrome 76.0.3809.132,,,2019-09-04 18:33:12,2019-09-04 18:33:13,1.008s,PASSED
"datam = getText(findTestObject(""JIRA/A Relese 6.6/ACTPOL-558/Datum Incident""))",Chrome 76.0.3809.132,Get text from the feild,,2019-09-04 18:33:13,2019-09-04 18:33:14,1.125s,PASSED
"log.logInfo(""Grid is shown contains columns mentioned ::"" + datam)",Chrome 76.0.3809.132,,,2019-09-04 18:33:14,2019-09-04 18:33:14,0.003s,PASSED
delay(1),Chrome 76.0.3809.132,,,2019-09-04 18:33:14,2019-09-04 18:33:15,1.010s,PASSED
"bij = getText(findTestObject(""JIRA/A Relese 6.6/ACTPOL-558/Bijzonderheden""))",Chrome 76.0.3809.132,Get text from the feild,,2019-09-04 18:33:15,2019-09-04 18:33:16,0.765s,PASSED
"log.logInfo(""Grid is shown contains columns mentioned ::"" + bij)",Chrome 76.0.3809.132,,,2019-09-04 18:33:16,2019-09-04 18:33:16,0.005s,PASSED
delay(1),Chrome 76.0.3809.132,,,2019-09-04 18:33:16,2019-09-04 18:33:17,1.009s,PASSED
"org = getText(findTestObject(""JIRA/A Relese 6.6/ACTPOL-558/Organisatie""))",Chrome 76.0.3809.132,Get text from the feild,,2019-09-04 18:33:17,2019-09-04 18:33:18,1.040s,PASSED
"log.logInfo(""Grid is shown contains columns mentioned ::"" + org)",Chrome 76.0.3809.132,,,2019-09-04 18:33:18,2019-09-04 18:33:18,0.004s,PASSED
delay(1),Chrome 76.0.3809.132,,,2019-09-04 18:33:18,2019-09-04 18:33:19,1.010s,PASSED
"con = getText(findTestObject(""JIRA/A Relese 6.6/ACTPOL-558/Contact persoon""))",Chrome 76.0.3809.132,Get text from the feild,,2019-09-04 18:33:19,2019-09-04 18:33:20,0.781s,PASSED
"log.logInfo(""Grid is shown contains columns mentioned ::"" + con)",Chrome 76.0.3809.132,,,2019-09-04 18:33:20,2019-09-04 18:33:20,0.005s,PASSED
delay(1),Chrome 76.0.3809.132,,,2019-09-04 18:33:20,2019-09-04 18:33:21,1.047s,PASSED
"telefoon = getText(findTestObject(""JIRA/A Relese 6.6/ACTPOL-558/Telefoon nummer""))",Chrome 76.0.3809.132,Get text from the feild,,2019-09-04 18:33:21,2019-09-04 18:33:22,1.194s,PASSED
"log.logInfo(""Grid is shown contains columns mentioned ::"" + telefoon)",Chrome 76.0.3809.132,,,2019-09-04 18:33:22,2019-09-04 18:33:22,0.004s,PASSED
delay(1),Chrome 76.0.3809.132,,,2019-09-04 18:33:22,2019-09-04 18:33:23,1.009s,PASSED
"voornaam = getText(findTestObject(""JIRA/A Relese 6.6/ACTPOL-558/Voornaam""))",Chrome 76.0.3809.132,Get text from the feild,,2019-09-04 18:33:23,2019-09-04 18:33:25,1.777s,PASSED
"log.logInfo(""Grid is shown contains columns mentioned ::"" + voornaam)",Chrome 76.0.3809.132,,,2019-09-04 18:33:25,2019-09-04 18:33:25,0.005s,PASSED
delay(1),Chrome 76.0.3809.132,,,2019-09-04 18:33:25,2019-09-04 18:33:26,1.008s,PASSED
"achternaam = getText(findTestObject(""JIRA/A Relese 6.6/ACTPOL-558/Achternaam""))",Chrome 76.0.3809.132,Get text from the feild,,2019-09-04 18:33:26,2019-09-04 18:33:27,1.378s,PASSED
"log.logInfo(""Grid is shown contains columns mentioned ::"" + achternaam)",Chrome 76.0.3809.132,,,2019-09-04 18:33:27,2019-09-04 18:33:27,0.002s,PASSED
delay(1),Chrome 76.0.3809.132,,,2019-09-04 18:33:27,2019-09-04 18:33:28,1.009s,PASSED
"geb = getText(findTestObject(""JIRA/A Relese 6.6/ACTPOL-558/Geboortedatum""))",Chrome 76.0.3809.132,Get text from the feild,,2019-09-04 18:33:28,2019-09-04 18:33:30,1.373s,PASSED
"log.logInfo(""Grid is shown contains columns mentioned ::"" + geb)",Chrome 76.0.3809.132,,,2019-09-04 18:33:30,2019-09-04 18:33:30,0.002s,PASSED
,,,,,,,
Test Cases/JIRA Tasks/Release 6.6/ACTPOL-559,Chrome 76.0.3809.132,"Description:
Per incident a new record should be created.
This should contain tab registratie, Personalia, Inbewaringstellings c.q. Plaatsingegevens, Gedrag/Medisch, Incidenten, Overige gegevens, Bezittingen/Bagage, Documenten.
In other task we will cover the various tabs. This task contains the registratie tab.

Solution:
Create the record for MBES18 records.
This should contain tab registratie, Personalia, Inbewaringstellings c.q. Plaatsingegevens, Gedrag/Medisch, Incidenten, Overige gegevens, Bezittingen/Bagage, Documenten.
In other task we will cover the various tabs. This task contains the registratie tab.

Testplan:
Step 1: Go to Opsporing - MBES18
Step 2: Enter all field in tab Registratie
Step 3: Save record

Navigation:
Opsporing - MBES18",ACTPOL-559,2019-09-04 18:33:34,2019-09-04 18:36:05,2m - 31.192s,PASSED
"callTestCase(findTestCase(""main/Actpol_Login_testenv""), [:], STOP_ON_FAILURE)",Chrome 76.0.3809.132,Login to the application,,2019-09-04 18:33:35,2019-09-04 18:34:10,34.862s,PASSED
log = new com.kms.katalon.core.logging.KeywordLogger(),Chrome 76.0.3809.132,,,2019-09-04 18:34:10,2019-09-04 18:34:10,0.004s,PASSED
"mouseOver(findTestObject(""Actpol_Scripts/Menu navigation/Opsporing/Opsporing""))",Chrome 76.0.3809.132,Mouse over to opsporing,,2019-09-04 18:34:10,2019-09-04 18:34:24,14.107s,PASSED
"log.logInfo(""Successfully logged"")",Chrome 76.0.3809.132,,,2019-09-04 18:34:24,2019-09-04 18:34:24,0.004s,PASSED
delay(2),Chrome 76.0.3809.132,,,2019-09-04 18:34:24,2019-09-04 18:34:26,2.007s,PASSED
"click(findTestObject(""Actpol_Scripts/Opsporing/MBES18/MBES18 TAB""))",Chrome 76.0.3809.132,Click MBES tab,,2019-09-04 18:34:26,2019-09-04 18:34:31,4.922s,PASSED
"log.logInfo(""Clicking MBES18 tab "")",Chrome 76.0.3809.132,,,2019-09-04 18:34:31,2019-09-04 18:34:31,0.003s,PASSED
delay(1),Chrome 76.0.3809.132,,,2019-09-04 18:34:31,2019-09-04 18:34:32,1.011s,PASSED
"mouseOver(findTestObject(""Actpol_Scripts/Menu navigation/Generiek/Generiek""))",Chrome 76.0.3809.132,Mouse over to Generic tab,,2019-09-04 18:34:32,2019-09-04 18:34:32,0.442s,PASSED
delay(5),Chrome 76.0.3809.132,,,2019-09-04 18:34:32,2019-09-04 18:34:37,5.006s,PASSED
"click(findTestObject(""Actpol_Scripts/Opsporing/MBES18/mbes new""))",Chrome 76.0.3809.132,Click new btn,,2019-09-04 18:34:37,2019-09-04 18:34:38,1.100s,PASSED
"log.logInfo(""Clicking MBES18 new button "")",Chrome 76.0.3809.132,,,2019-09-04 18:34:38,2019-09-04 18:34:38,0.004s,PASSED
delay(1),Chrome 76.0.3809.132,,,2019-09-04 18:34:38,2019-09-04 18:34:39,1.012s,PASSED
takeScreenshot(),Chrome 76.0.3809.132,,,2019-09-04 18:34:39,2019-09-04 18:34:40,0.695s,PASSED
delay(1),Chrome 76.0.3809.132,,,2019-09-04 18:34:40,2019-09-04 18:34:41,1.018s,PASSED
