Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"ACTPOL-561,562 AND 563",Chrome 76.0.3809.132,MBES18 module,,2019-09-05 19:28:00,2019-09-05 19:43:57,15m - 57.187s,INCOMPLETE
,,,,,,,
Test Cases/JIRA Tasks/Release 6.6/ACTPOL-561,Chrome 76.0.3809.132,"Description:
In this MBES18 module there should be possibility to enter Bewaringstelling (detainment information) and plaatsingsgegevens (location information).

Solution:
Create a tab called Bewaringstellings c.q. Plaatsingsgegevens.
This tab should contain the field in added screenshot.

Testplan:
Step 1: Go to Opsporing - MBES18 fill in required fields and click save
Step 2: Go to Tab Bewaringstellings c.q. Plaatsingsgegevens fill in all fields
Step 3: save record.

Navigation:
Opsporing - MBES18 - Tab Bewaringstellings c.q. Plaatsingsgegevens",ACTPOL-561,2019-09-05 19:28:00,2019-09-05 19:33:08,5m - 8.247s,PASSED
"callTestCase(findTestCase(""main/Actpol_Login_testenv""), [:], STOP_ON_FAILURE)",Chrome 76.0.3809.132,Login to the application,,2019-09-05 19:28:03,2019-09-05 19:28:51,47.371s,PASSED
log = new com.kms.katalon.core.logging.KeywordLogger(),Chrome 76.0.3809.132,,,2019-09-05 19:28:51,2019-09-05 19:28:51,0.003s,PASSED
"mouseOver(findTestObject(""Actpol_Scripts/Menu navigation/Opsporing/Opsporing""))",Chrome 76.0.3809.132,Mouse over to opsporing,,2019-09-05 19:28:51,2019-09-05 19:29:20,28.929s,PASSED
"log.logInfo(""Successfully logged"")",Chrome 76.0.3809.132,,,2019-09-05 19:29:20,2019-09-05 19:29:20,0.006s,PASSED
delay(2),Chrome 76.0.3809.132,,,2019-09-05 19:29:20,2019-09-05 19:29:22,2.028s,PASSED
"click(findTestObject(""Actpol_Scripts/Opsporing/MBES18/MBES18 TAB""))",Chrome 76.0.3809.132,Click MBES tab,,2019-09-05 19:29:22,2019-09-05 19:29:26,4.686s,PASSED
"log.logInfo(""Clicking MBES18 tab "")",Chrome 76.0.3809.132,,,2019-09-05 19:29:26,2019-09-05 19:29:26,0.005s,PASSED
delay(1),Chrome 76.0.3809.132,,,2019-09-05 19:29:26,2019-09-05 19:29:27,1.016s,PASSED
"mouseOver(findTestObject(""Actpol_Scripts/Menu navigation/Generiek/Generiek""))",Chrome 76.0.3809.132,Mouse over to Generic tab,,2019-09-05 19:29:27,2019-09-05 19:29:28,0.501s,PASSED
delay(8),Chrome 76.0.3809.132,,,2019-09-05 19:29:28,2019-09-05 19:29:36,8.011s,PASSED
"click(findTestObject(""Actpol_Scripts/Opsporing/MBES18/mbes new""))",Chrome 76.0.3809.132,Click new btn,,2019-09-05 19:29:36,2019-09-05 19:29:37,1.199s,PASSED
"log.logInfo(""Clicking MBES18 new button "")",Chrome 76.0.3809.132,,,2019-09-05 19:29:37,2019-09-05 19:29:37,0.006s,PASSED
delay(6),Chrome 76.0.3809.132,,,2019-09-05 19:29:37,2019-09-05 19:29:43,6.010s,PASSED
