Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
ACTPOL-566,Chrome 76.0.3809.132,#MBES18 module,,2019-09-09 20:36:23,2019-09-09 20:38:56,2m - 33.124s,INCOMPLETE
,,,,,,,
Test Cases/JIRA Tasks/Release 6.6/ACTPOL-566,Chrome 76.0.3809.132,"Description:
It should be possible to create documents related to this Vreemdeling.

Solution:
create a tab Document with the functionality to fetch information of all these MBES18 tabs and records.
This in done in all rol/proces and also in Arrestanten module.

Testplan:
Step 1: Go to Opsporing - MBES18
Step 2: Enter a new record in MBES18 module, fill in the required fields and click save.
Step 3: Go to tab Documenten and generate a document
Step 4: This document should contain the same values in the MBES18 record

Navigation:
Opsporing - MBES18 -Tab Documenten",ACTPOL-566,2019-09-09 20:36:24,2019-09-09 20:38:56,2m - 32.604s,PASSED
"callTestCase(findTestCase(""main/Actpol_Login_testenv""), [:], STOP_ON_FAILURE)",Chrome 76.0.3809.132,,,2019-09-09 20:36:25,2019-09-09 20:36:59,33.687s,PASSED
"mouseOver(findTestObject(""Actpol_Scripts/Menu navigation/Opsporing/Opsporing""))",Chrome 76.0.3809.132,,,2019-09-09 20:36:59,2019-09-09 20:37:14,14.478s,PASSED
delay(2),Chrome 76.0.3809.132,,,2019-09-09 20:37:14,2019-09-09 20:37:16,2.034s,PASSED
"click(findTestObject(""Actpol_Scripts/Opsporing/MBES18/MBES18 TAB""))",Chrome 76.0.3809.132,,,2019-09-09 20:37:16,2019-09-09 20:37:20,4.771s,PASSED
delay(1),Chrome 76.0.3809.132,,,2019-09-09 20:37:20,2019-09-09 20:37:21,1.008s,PASSED
"click(findTestObject(""Actpol_Scripts/Opsporing/MBES18/8 Documenten/edit default mbes 18""))",Chrome 76.0.3809.132,,,2019-09-09 20:37:21,2019-09-09 20:37:22,1.136s,PASSED
delay(8),Chrome 76.0.3809.132,,,2019-09-09 20:37:22,2019-09-09 20:37:31,8.017s,PASSED
"click(findTestObject(""Actpol_Scripts/Opsporing/MBES18/Registratie tab""), OPTIONAL)",Chrome 76.0.3809.132,,,2019-09-09 20:37:31,2019-09-09 20:37:31,0.772s,PASSED
delay(2),Chrome 76.0.3809.132,,,2019-09-09 20:37:31,2019-09-09 20:37:33,2.009s,PASSED
"click(findTestObject(""Actpol_Scripts/Opsporing/MBES18/8 Documenten/Documenten tab""), OPTIONAL)",Chrome 76.0.3809.132,,,2019-09-09 20:37:33,2019-09-09 20:37:34,0.815s,PASSED
delay(1),Chrome 76.0.3809.132,,,2019-09-09 20:37:34,2019-09-09 20:37:35,1.008s,PASSED
"comment(""Creating new document"")",Chrome 76.0.3809.132,,,2019-09-09 20:37:35,2019-09-09 20:37:35,0.028s,PASSED
"click(findTestObject(""Actpol_Scripts/Opsporing/MBES18/8 Documenten/Document new""), OPTIONAL)",Chrome 76.0.3809.132,,,2019-09-09 20:37:35,2019-09-09 20:37:36,1.123s,PASSED
delay(2),Chrome 76.0.3809.132,,,2019-09-09 20:37:36,2019-09-09 20:37:38,2.008s,PASSED
"selectOptionByIndex(findTestObject(""Actpol_Scripts/Opsporing/MBES18/8 Documenten/Selecteer Documentsjabloon""), 2, STOP_ON_FAILURE)",Chrome 76.0.3809.132,,,2019-09-09 20:37:38,2019-09-09 20:37:39,0.950s,PASSED
"list = ""Selecteer een ander document.""",Chrome 76.0.3809.132,,,2019-09-09 20:37:39,2019-09-09 20:37:39,0.005s,PASSED
delay(3),Chrome 76.0.3809.132,,,2019-09-09 20:37:39,2019-09-09 20:37:42,3.012s,PASSED
"click(findTestObject(""Actpol_Scripts/Opsporing/MBES18/8 Documenten/new document save""))",Chrome 76.0.3809.132,,,2019-09-09 20:37:42,2019-09-09 20:37:43,0.457s,PASSED
delay(4),Chrome 76.0.3809.132,,,2019-09-09 20:37:43,2019-09-09 20:37:47,4.009s,PASSED
"comment(""Editing existing document"")",Chrome 76.0.3809.132,,,2019-09-09 20:37:47,2019-09-09 20:37:47,0.008s,PASSED
"click(findTestObject(""Actpol_Scripts/Opsporing/MBES18/8 Documenten/edit existing doc default""))",Chrome 76.0.3809.132,,,2019-09-09 20:37:47,2019-09-09 20:37:48,1.108s,PASSED
delay(3),Chrome 76.0.3809.132,,,2019-09-09 20:37:48,2019-09-09 20:37:51,3.010s,PASSED
"setText(findTestObject(""Actpol_Scripts/Opsporing/MBES18/8 Documenten/Ordner""), ""Katalon testing"")",Chrome 76.0.3809.132,,,2019-09-09 20:37:51,2019-09-09 20:37:52,0.676s,PASSED
delay(3),Chrome 76.0.3809.132,,,2019-09-09 20:37:52,2019-09-09 20:37:55,3.007s,PASSED
"click(findTestObject(""Actpol_Scripts/Opsporing/MBES18/8 Documenten/Document download""))",Chrome 76.0.3809.132,,,2019-09-09 20:37:55,2019-09-09 20:37:55,0.681s,PASSED
switchToWindowIndex(0),Chrome 76.0.3809.132,,,2019-09-09 20:37:55,2019-09-09 20:37:55,0.194s,PASSED
delay(3),Chrome 76.0.3809.132,,,2019-09-09 20:37:55,2019-09-09 20:37:58,3.011s,PASSED
"click(findTestObject(""Actpol_Scripts/Opsporing/MBES18/8 Documenten/Details""))",Chrome 76.0.3809.132,,,2019-09-09 20:37:58,2019-09-09 20:37:59,0.491s,PASSED
delay(1),Chrome 76.0.3809.132,,,2019-09-09 20:37:59,2019-09-09 20:38:00,1.006s,PASSED
