Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
MBES18 ALL,Chrome 77.0.3865.90,ACTPOL-558 to ACTPOL-665,,2019-09-24 18:18:37,2019-09-24 18:41:11,22m - 33.979s,INCOMPLETE
,,,,,,,
Test Cases/JIRA Tasks/Release 6.6/ACTPOL-558,Chrome 77.0.3865.90,"Description:
For the purpose of careful and efficient provision of information to all parties involved in the forced departure (expulsion) of a foreign national(Vreemdeling), the registration form, model MBES18, is required.

Solution:
Create a new module in Tab Opsporing called MBES18.
When opening this module a grid wil show as in Arrestanten, with the Options volgnummer, Datum incident, Bijzonderheden, Organisatie, Contact persoon, telefoon numer, Voornaam, Achternaam en Geboortedatum.

Testplan:
Step 1: Go to Opsporing and choose tab MBES18
Step 2: Grid as attachment should pop up
Step 3: Grid should contain columns mentioned.

Navigation:
Opsporing - MBES18",ACTPOL-558,2019-09-24 18:18:38,2019-09-24 18:20:06,1m - 27.784s,PASSED
"callTestCase(findTestCase(""main/Actpol_Login_testenv""), [:], STOP_ON_FAILURE)",Chrome 77.0.3865.90,Login to the application,,2019-09-24 18:18:39,2019-09-24 18:19:05,26.361s,PASSED
log = new com.kms.katalon.core.logging.KeywordLogger(),Chrome 77.0.3865.90,,,2019-09-24 18:19:05,2019-09-24 18:19:05,0.015s,PASSED
delay(4),Chrome 77.0.3865.90,,,2019-09-24 18:19:05,2019-09-24 18:19:09,4.008s,PASSED
"mouseOver(findTestObject(""Actpol_Scripts/Menu navigation/Generiek/Generiek""))",Chrome 77.0.3865.90,Mouse over to Generic tab,,2019-09-24 18:19:09,2019-09-24 18:19:10,0.492s,PASSED
"log.logInfo(""Successfully logged"")",Chrome 77.0.3865.90,,,2019-09-24 18:19:10,2019-09-24 18:19:10,0.005s,PASSED
delay(2),Chrome 77.0.3865.90,,,2019-09-24 18:19:10,2019-09-24 18:19:12,2.010s,PASSED
"click(findTestObject(""Actpol_Scripts/Opsporing/MBES18/MBES18 TAB""))",Chrome 77.0.3865.90,Click MBES tab,,2019-09-24 18:19:12,2019-09-24 18:19:12,0.454s,PASSED
delay(2),Chrome 77.0.3865.90,,,2019-09-24 18:19:12,2019-09-24 18:19:14,2.008s,PASSED
"click(findTestObject(""Actpol_Scripts/Opsporing/MBES18/MBES18 TAB""))",Chrome 77.0.3865.90,Click MBES tab,,2019-09-24 18:19:14,2019-09-24 18:19:15,0.313s,PASSED
delay(2),Chrome 77.0.3865.90,,,2019-09-24 18:19:15,2019-09-24 18:19:17,2.009s,PASSED
"click(findTestObject(""Actpol_Scripts/Opsporing/MBES18/MBES18 TAB""))",Chrome 77.0.3865.90,Click MBES tab,,2019-09-24 18:19:17,2019-09-24 18:19:17,0.252s,PASSED
"log.logInfo(""Clicking MBES18 tab "")",Chrome 77.0.3865.90,,,2019-09-24 18:19:17,2019-09-24 18:19:17,0.003s,PASSED
delay(3),Chrome 77.0.3865.90,,,2019-09-24 18:19:17,2019-09-24 18:19:20,3.009s,PASSED
takeScreenshot(),Chrome 77.0.3865.90,,,2019-09-24 18:19:20,2019-09-24 18:19:21,0.567s,PASSED
"log.logInfo(""MBES18 module is displayed"")",Chrome 77.0.3865.90,,,2019-09-24 18:19:21,2019-09-24 18:19:21,0.012s,PASSED
delay(1),Chrome 77.0.3865.90,,,2019-09-24 18:19:21,2019-09-24 18:19:22,1.008s,PASSED
"optie = getText(findTestObject(""JIRA/A Relese 6.6/ACTPOL-558/optie""))",Chrome 77.0.3865.90,Get text from the feild,,2019-09-24 18:19:22,2019-09-24 18:19:55,32.996s,PASSED
"log.logInfo(""Grid is shown contains columns mentioned ::"" + optie)",Chrome 77.0.3865.90,,,2019-09-24 18:19:55,2019-09-24 18:19:55,0.004s,PASSED
delay(1),Chrome 77.0.3865.90,,,2019-09-24 18:19:55,2019-09-24 18:19:56,1.009s,PASSED
"vlg = getText(findTestObject(""JIRA/A Relese 6.6/ACTPOL-558/Vlg. Nummer""))",Chrome 77.0.3865.90,Get text from the feild,,2019-09-24 18:19:56,2019-09-24 18:19:56,0.601s,PASSED
"log.logInfo(""Grid is shown contains columns mentioned ::"" + vlg)",Chrome 77.0.3865.90,,,2019-09-24 18:19:56,2019-09-24 18:19:56,0.006s,PASSED
delay(1),Chrome 77.0.3865.90,,,2019-09-24 18:19:56,2019-09-24 18:19:57,1.008s,PASSED
"datam = getText(findTestObject(""JIRA/A Relese 6.6/ACTPOL-558/Datum Incident""))",Chrome 77.0.3865.90,Get text from the feild,,2019-09-24 18:19:57,2019-09-24 18:19:58,0.463s,PASSED
"log.logInfo(""Grid is shown contains columns mentioned ::"" + datam)",Chrome 77.0.3865.90,,,2019-09-24 18:19:58,2019-09-24 18:19:58,0.005s,PASSED
delay(1),Chrome 77.0.3865.90,,,2019-09-24 18:19:58,2019-09-24 18:19:59,1.008s,PASSED
"org = getText(findTestObject(""JIRA/A Relese 6.6/ACTPOL-558/Organisatie""))",Chrome 77.0.3865.90,Get text from the feild,,2019-09-24 18:19:59,2019-09-24 18:19:59,0.386s,PASSED
"log.logInfo(""Grid is shown contains columns mentioned ::"" + org)",Chrome 77.0.3865.90,,,2019-09-24 18:19:59,2019-09-24 18:19:59,0.013s,PASSED
delay(1),Chrome 77.0.3865.90,,,2019-09-24 18:19:59,2019-09-24 18:20:00,1.012s,PASSED
"voornaam = getText(findTestObject(""JIRA/A Relese 6.6/ACTPOL-558/Voornaam""))",Chrome 77.0.3865.90,Get text from the feild,,2019-09-24 18:20:00,2019-09-24 18:20:01,0.452s,PASSED
"log.logInfo(""Grid is shown contains columns mentioned ::"" + voornaam)",Chrome 77.0.3865.90,,,2019-09-24 18:20:01,2019-09-24 18:20:01,0.006s,PASSED
delay(1),Chrome 77.0.3865.90,,,2019-09-24 18:20:01,2019-09-24 18:20:02,1.006s,PASSED
"achternaam = getText(findTestObject(""JIRA/A Relese 6.6/ACTPOL-558/Achternaam""))",Chrome 77.0.3865.90,Get text from the feild,,2019-09-24 18:20:02,2019-09-24 18:20:02,0.394s,PASSED
"log.logInfo(""Grid is shown contains columns mentioned ::"" + achternaam)",Chrome 77.0.3865.90,,,2019-09-24 18:20:02,2019-09-24 18:20:02,0.003s,PASSED
delay(1),Chrome 77.0.3865.90,,,2019-09-24 18:20:02,2019-09-24 18:20:03,1.007s,PASSED
"geb = getText(findTestObject(""JIRA/A Relese 6.6/ACTPOL-558/Geboortedatum""))",Chrome 77.0.3865.90,Get text from the feild,,2019-09-24 18:20:03,2019-09-24 18:20:03,0.451s,PASSED
"log.logInfo(""Grid is shown contains columns mentioned ::"" + geb)",Chrome 77.0.3865.90,,,2019-09-24 18:20:03,2019-09-24 18:20:03,0.003s,PASSED
"log.logInfo(""MBES18 module a grid will shown in Arrestanten, with the Options Vrnummer, Datum incident, Organisatie,Voornaam, Achternaam and  Geboortedatum."")",Chrome 77.0.3865.90,,,2019-09-24 18:20:03,2019-09-24 18:20:03,0.003s,PASSED
,,,,,,,
Test Cases/JIRA Tasks/Release 6.6/ACTPOL-559,Chrome 77.0.3865.90,"Description:
Per incident a new record should be created.
This should contain tab registratie, Personalia, Inbewaringstellings c.q. Plaatsingegevens, Gedrag/Medisch, Incidenten, Overige gegevens, Bezittingen/Bagage, Documenten.
In other task we will cover the various tabs. This task contains the registratie tab.

Solution:
Create the record for MBES18 records.
This should contain tab registratie, Personalia, Inbewaringstellings c.q. Plaatsingegevens, Gedrag/Medisch, Incidenten, Overige gegevens, Bezittingen/Bagage, Documenten.
In other task we will cover the various tabs. This task contains the registratie tab.

Testplan:
Step 1: Go to Opsporing - MBES18
Step 2: Enter all field in tab Registratie
Step 3: Save record

Navigation:
Opsporing - MBES18",ACTPOL-559,2019-09-24 18:20:06,2019-09-24 18:21:59,1m - 53.227s,PASSED
"callTestCase(findTestCase(""main/Actpol_Login_testenv""), [:], STOP_ON_FAILURE)",Chrome 77.0.3865.90,Login to the application,,2019-09-24 18:20:07,2019-09-24 18:20:29,22.755s,PASSED
log = new com.kms.katalon.core.logging.KeywordLogger(),Chrome 77.0.3865.90,,,2019-09-24 18:20:29,2019-09-24 18:20:29,0.007s,PASSED
delay(6),Chrome 77.0.3865.90,,,2019-09-24 18:20:29,2019-09-24 18:20:35,6.021s,PASSED
"mouseOver(findTestObject(""Actpol_Scripts/Menu navigation/Generiek/Generiek""))",Chrome 77.0.3865.90,Mouse over to Generic tab,,2019-09-24 18:20:35,2019-09-24 18:20:36,0.345s,PASSED
"log.logInfo(""Successfully logged"")",Chrome 77.0.3865.90,,,2019-09-24 18:20:36,2019-09-24 18:20:36,0.003s,PASSED
delay(4),Chrome 77.0.3865.90,,,2019-09-24 18:20:36,2019-09-24 18:20:40,4.010s,PASSED
"click(findTestObject(""Actpol_Scripts/Opsporing/MBES18/MBES18 TAB""))",Chrome 77.0.3865.90,Click MBES tab,,2019-09-24 18:20:40,2019-09-24 18:20:40,0.395s,PASSED
delay(2),Chrome 77.0.3865.90,,,2019-09-24 18:20:40,2019-09-24 18:20:42,2.011s,PASSED
"click(findTestObject(""Actpol_Scripts/Opsporing/MBES18/MBES18 TAB""), OPTIONAL)",Chrome 77.0.3865.90,Click MBES tab,,2019-09-24 18:20:42,2019-09-24 18:20:42,0.288s,PASSED
"log.logInfo(""Clicking MBES18 tab "")",Chrome 77.0.3865.90,,,2019-09-24 18:20:42,2019-09-24 18:20:42,0.003s,PASSED
delay(1),Chrome 77.0.3865.90,,,2019-09-24 18:20:42,2019-09-24 18:20:43,1.010s,PASSED
delay(5),Chrome 77.0.3865.90,,,2019-09-24 18:20:43,2019-09-24 18:20:48,5.011s,PASSED
"click(findTestObject(""Actpol_Scripts/Opsporing/MBES18/mbes new""))",Chrome 77.0.3865.90,Click new btn,,2019-09-24 18:20:48,2019-09-24 18:20:49,0.646s,PASSED
"log.logInfo(""Clicking MBES18 new button "")",Chrome 77.0.3865.90,,,2019-09-24 18:20:49,2019-09-24 18:20:49,0.003s,PASSED
delay(1),Chrome 77.0.3865.90,,,2019-09-24 18:20:49,2019-09-24 18:20:50,1.011s,PASSED
takeScreenshot(),Chrome 77.0.3865.90,,,2019-09-24 18:20:50,2019-09-24 18:20:51,0.504s,PASSED
delay(1),Chrome 77.0.3865.90,,,2019-09-24 18:20:51,2019-09-24 18:20:52,1.006s,PASSED
